gas_ppm,tilt_deg,vibration_g,label
267.0,8.27,0.277,elevated
259.4,9.67,0.255,elevated
99.4,2.49,0.073,safe
266.2,14.89,0.02,elevated
542.8,18.98,0.403,critical
361.4,8.26,0.23,elevated
235.8,6.33,0.288,elevated
762.4,29.08,0.82,critical
77.7,0.87,0.063,safe
41.7,2.81,0.027,safe
316.7,13.74,0.24,elevated
840.1,27.26,0.492,critical
352.6,11.52,0.221,elevated
80.2,1.78,0.035,safe
96.4,2.61,0.049,safe
580.5,29.19,0.871,critical
73.4,20.3,0.329,elevated
776.6,15.39,0.644,critical
713.5,21.65,0.669,critical
322.9,12.23,0.156,elevated
94.4,11.29,0.342,elevated
366.5,12.99,0.283,elevated
552.6,24.57,0.669,critical
97.3,3.44,0.058,safe
383.1,15.01,0.424,elevated
618.4,33.69,0.306,critical
216.6,9.37,0.256,elevated
569.0,16.46,0.542,critical
49.7,2.88,0.017,safe
587.3,32.16,0.592,critical
620.5,27.93,0.651,critical
270.4,9.37,0.224,elevated
811.6,22.86,0.858,critical
288.6,13.98,0.339,elevated
86.6,2.32,0.054,safe
359.8,14.41,0.379,elevated
150.0,9.58,0.381,elevated
602.4,22.78,0.436,critical
647.1,17.02,0.515,critical
122.4,3.17,0.037,safe
75.5,2.6,0.059,safe
394.6,12.68,0.101,elevated
277.8,10.55,0.341,elevated
60.5,3.96,0.038,safe
84.0,2.24,0.04,safe
97.1,3.48,0.054,safe
230.5,6.01,0.305,elevated
671.3,43.66,0.572,critical
258.6,11.67,0.244,elevated
297.8,7.97,0.212,elevated
294.0,6.96,0.213,elevated
763.4,24.51,0.565,critical
338.7,5.79,0.257,elevated
731.1,26.48,0.711,critical
49.0,0.82,0.054,safe
475.1,31.84,0.414,critical
773.6,21.71,0.687,critical
75.3,3.24,0.046,safe
350.4,6.72,0.273,elevated
86.6,3.88,0.043,safe
332.6,5.56,0.169,elevated
266.7,8.33,0.261,elevated
73.7,1.42,0.071,safe
222.3,9.92,0.17,elevated
61.8,3.76,0.016,safe
623.1,29.44,0.753,critical
109.3,2.1,0.034,safe
719.7,35.83,0.686,critical
110.8,2.5,0.009,safe
117.7,0.93,0.024,safe
108.8,2.02,0.046,safe
735.1,18.82,0.424,critical
394.4,8.99,0.218,elevated
73.1,2.01,0.036,safe
